,Ast1,Ast2,Ast3,Ast4,Ast5,Ast7,Ast8,Ast9,Ast10,Ast11,Ast12,Ast13,Ast14,Ast15,Ast16,Ast17,Ast18,Ast19,Ast20
Mic1,0.00016675973870425298,-0.09792747766422988,-0.07296122961841589,-0.07724940808592773,-0.08736735427378617,-0.08415249150724141,-0.11916643542222949,-0.15482452926836432,-0.12648774282423925,-0.0699672685093296,-0.16514308642065356,-0.30784485211393564,-0.18996068732221216,-0.023162405948199044,-0.202080904537828,-0.11871658019982684,-0.22591847202342863,-0.13809528146800448,-0.012853328371433437
Mic2,0.2316438295666906,0.1002089332999937,0.14928658163411285,0.08137490680147519,-0.10322580812094273,0.03775075780930015,-0.03971615726804695,0.0008723780698258743,-0.05948252488141237,0.026772856432669356,0.08186203347269605,0.04620050408837928,0.12974607405604727,0.31213162084337337,-0.012044571737242271,0.231333499135301,0.039607322825928826,0.05935443631524473,-0.05486192387300348
Mic3,0.26350900577185277,-0.055654095922067714,0.17256027916980274,0.0010037996508096558,-0.25798902224356746,-0.1162127885691695,-0.2717599411105531,0.017720696374412315,0.014305975348523181,-0.3372772589511245,0.0840374243092159,0.07252779431735057,0.10461485789066288,0.46668150444763834,-0.0009520619868503832,0.3012416365707795,0.07930259008689255,-0.04604474365558886,-0.01786457746623682
Mic4,-0.0395460067338989,-0.07825764074420005,-0.1480556637284969,-0.04317489221198828,-0.13719560570895234,-0.06608067579837246,-0.19102151702298775,-0.08698773541187507,-0.1118900887390165,-0.13761062126374302,-0.13423638073588579,-0.15099348479537955,-0.10114832460558917,0.07763732358421538,-0.08019368848219505,-0.012697919660031531,-0.12085735691268928,-0.11465545991621107,-0.08048613479416068
Mic5,-0.21891080636913868,-0.26046599595295855,-0.190544129338592,-0.23461552724160653,-0.25091655076771874,-0.23073419509777615,-0.26219276467417757,-0.40335945757307434,-0.4267122240400935,-0.17386664962303294,-0.4129795184919718,-0.5023824161469806,-0.301349181200655,-0.2243293406625646,-0.4543753276391382,-0.3368208180414011,-0.5174799299301314,-0.32654176521963374,-0.2197520363726017
Mic6,-0.012444415380561624,-0.039522015999771454,0.07328576618099716,-0.0510370762000778,-0.20397736273108735,-0.059348901131703324,-0.17669420192450502,-0.16134351326752444,-0.21641659158518994,-0.09376675623347108,-0.10056818159422776,-0.11687192609610722,-0.010043413042969407,0.4004527290541171,-0.11597695794661633,0.17325862658879776,-0.15384151416323094,-0.08668027783606208,-0.2051572724352539
Mic8,-0.11414268578228087,-0.15443478661245946,-0.454716907727039,-0.1033758233457988,-0.09493730388469429,-0.11754452838630167,-0.17064199429160906,-0.13408324196280497,-0.09958693383055031,-0.12606393340547814,-0.1805134482603451,-0.2853780237008201,-0.25657648595700416,-0.12887591405138185,-0.19356734570845524,-0.20539422323492493,-0.1670951100551754,-0.20252507999897812,-0.020578333848401992
Mic9,0.3845243876383028,-0.014754815155293755,0.08150061848268443,-0.007119287097634097,-0.08373386799916849,-0.04763637370778617,-0.09229605852702916,0.01694222450330185,0.03354337631029186,-0.1568449209885161,0.06497762149879355,0.0813204956768702,-0.016448646385640142,0.3030061679882099,0.005567648025986693,0.14934106023734467,0.08784129731375895,-0.024022130956811882,0.003648595559379242
Mic10,0.15757211479872746,0.010706476837611834,0.14573219264412607,0.003951258004281755,-0.1870449480455173,-0.02702251003700107,-0.15071113219687876,-0.03300323074639433,-0.07308049596449462,-0.1288422266390451,0.047579973446348456,0.017518771928896892,0.08812372665334128,0.5237957096447732,-0.005149667877475894,0.33335806295343373,0.006795715262940594,-0.0013459290027150184,-0.1401857745783348
Mic11,-0.08750830517175429,0.06322355036188565,-0.02804455988134545,0.08417093894949257,0.01801278969405462,0.049575466518028244,-0.027142004253059085,-0.03463351693176481,-0.04918789051734018,0.09241639196984222,-0.05082691846481324,-0.07819032288762534,-0.03481830445332329,0.2612068031901018,-0.025911386654201368,0.0448103585901205,-0.07522562519657322,-0.030239576919302624,0.03817193413518244
Mic12,0.1035427258626793,0.05685635184992155,0.2089202184585414,0.03789279392733741,-0.08696817516681365,0.043924126518935847,-0.09944865638899533,0.00980234769189775,-0.06251508217415724,-0.04286275901130196,0.08535812067713189,0.028259728971886444,0.1160975521594966,0.36051112897912296,0.00020446892767769786,0.21634028920641235,0.021521899271607692,0.02638274268579391,-0.11543561529266161
Mic13,0.38797854990037905,0.07326573708544326,0.14327378587543343,0.12597805818508334,0.0013527127021036867,0.05287311213811696,-0.1206941504838086,0.13119453028268402,0.1694987889624382,-0.1722208916967336,0.14671634143095175,0.14938167828757679,0.08495289449121213,0.35782057892945274,0.09487748209016428,0.2310105526345662,0.18169137263422763,0.05495354144052844,0.14880878138526943
Mic14,0.06017577349993508,-0.13710888571727253,0.16892157986654513,-0.1951790899329957,-0.30062267945379284,-0.1863794989870624,-0.1959019065542864,-0.19548878468721131,-0.2626541784928219,-0.16097093818405328,-0.06815303030526265,-0.05443646757164,0.019406524432794447,0.38338198190790085,-0.1145346407370409,0.11095186306242033,-0.1340792396157009,-0.12199761315481761,-0.2840937360851392
Mic15,-0.06467280951947929,-0.11598488200957535,0.11213127494358022,-0.13837266327052267,-0.20085043366641925,-0.1602165283057735,-0.1584805561029897,-0.18560593261397784,-0.232359750157984,-0.08924350559423422,-0.11243918809292663,-0.08680399562167129,-0.015987780702726828,0.28612894774890363,-0.10170302351632399,-0.037083481397275464,-0.16176504063124542,-0.13867882657371605,-0.1845483297559477
Mic16,0.09986503345302561,-0.013638153909076633,0.03512163582833949,-0.025441375106367736,-0.022070094234919235,-0.022120905515545963,-0.037907437181561476,-0.055062637647696144,-0.016442216084926242,-0.0034118788302264225,0.031380149280157976,0.11025322346973021,-0.061017175822628,0.06267156236728838,-0.18134405083981453,-0.021918337097952656,0.006733567530092799,-0.03884727975167207,0.058276202512782205
Mic17,-0.17701457158203002,-0.1628189437681445,0.06393104826699711,-0.18792719000714114,-0.1915441195089532,-0.17020270810832527,-0.17396319711088185,-0.21141268713380557,-0.26301674407164943,-0.08790504639029592,-0.15585730198139938,-0.1462355028411818,-0.12536826605538304,-0.20720449949200848,-0.17475304240629383,-0.2901150199023889,-0.213757529900055,-0.20620413104376992,-0.2135431596059945
Mic18,0.25732512042776207,0.12172975475363457,0.26836107228078154,0.13664718190743697,-0.09415423536825829,0.06310206814486063,-0.119136712586972,0.07157388977137658,0.003263636271450432,-0.019067712744019527,0.14172176113394375,0.11198299900240027,0.1546294414143719,0.4844699849921703,0.033415341766020734,0.2816184197089481,0.10496664325797056,0.010489726841197422,-0.04726406161928842
Mic19,0.10667751649301035,0.10124442311416876,0.12595407234351547,0.16526009169219508,-0.012347307051437328,0.12124224457149346,-0.1249091138781572,0.0950917750688865,0.09102622106689512,-0.043857309042421244,0.11791854831504375,0.06296347036835573,0.06737911248081027,0.43036439497111967,0.08549572583903806,0.2864110564655462,0.11437619153209772,0.03427157500293124,0.04000791134911513
Mic20,0.12316721778678397,-0.16171955796970905,0.17574477062898725,-0.20074693812647926,-0.36728070484286457,-0.25592157235463486,-0.21594957299075418,-0.1742016176471135,-0.22511944922828542,-0.21248063820736685,-0.028271281469452347,-0.009306036374851723,0.056682146502601505,0.44471046470084225,-0.09405767854510894,0.19351384518567627,-0.07642138325483483,-0.11774437936256155,-0.2520872537526002
Mic21,0.12590715493511495,-0.017640987653132045,0.1334428315511682,-0.03489684027793438,-0.06582444342537197,-0.03906021051109099,-0.05423284151486302,-0.12230922995809457,-0.154158078486603,-0.008960929925173278,0.025517551534729677,0.040654167113533424,-0.0020381228211265867,0.11007489164241002,-0.09286537118606963,0.004855724757611646,-0.11693811971609214,-0.0375343128295611,0.010698712300472923
